,Rank,OPR,DPR,CCWM,teleopOPR,autoOPR,endgameOPR,scheduleStrength,,
663,12,49.44,32.11,17.33,35.16,10.36,30.24,0.19,,
2883,8,49.37,26.91,22.46,46.49,7.76,30.75,-0.99,,
5260,8,49.35,28.93,20.43,40.42,7.40,28.07,1.51,,
6919,1,49.18,18.69,30.48,30.83,9.38,24.21,0.02,,
3597,15,48.94,23.04,25.89,28.75,18.57,18.79,0.44,,
4728,14,48.93,21.34,27.60,31.85,15.09,14.15,-0.81,,
4976,13,48.92,27.76,21.16,32.60,14.33,15.62,-0.14,,
1781,15,48.83,23.70,25.13,23.52,17.58,16.88,-1.04,,
5568,7,48.82,25.50,23.33,24.47,9.96,20.38,-0.72,,
4028,4,48.81,14.43,34.38,23.80,16.64,21.77,-0.04,,
2658,5,48.76,17.73,31.03,29.40,14.53,18.72,-0.24,,
3802,15,48.59,23.86,24.73,22.32,18.41,4.98,1.96,,
5434,32,48.56,39.49,9.08,27.40,17.92,16.71,1.15,,
1710,11,48.36,46.15,2.21,31.89,13.65,22.70,2.22,,
6336,5,48.20,26.38,21.83,24.37,11.80,22.63,0.77,,
4336,2,48.18,13.74,34.44,26.66,12.15,21.14,-0.75,,
5990,3,48.15,26.69,21.46,34.00,14.49,14.47,0.42,,
5148,8,48.13,6.34,41.79,32.44,10.51,25.24,-1.72,,
5424,10,48.11,31.72,16.39,31.77,14.21,19.91,0.78,,
5348,3,48.01,34.17,13.83,30.28,18.47,18.32,1.05,,
5086,7,47.89,34.88,13.02,26.66,20.17,13.89,0.10,,
4020,4,47.88,16.70,31.18,24.81,23.06,8.15,-1.66,,
1481,3,47.84,15.90,31.94,24.12,9.40,12.34,-0.49,,
6742,5,47.84,4.99,42.85,20.44,7.01,20.27,-1.50,,
6160,24,47.80,43.57,4.23,28.86,12.91,30.30,0.26,,
3688,25,47.80,27.97,19.83,35.57,12.66,24.75,1.26,,
3986,6,47.74,25.75,21.99,29.61,11.89,17.94,-0.75,,
5675,11,47.66,33.83,13.83,27.70,15.12,19.10,-0.68,,
4741,5,47.66,41.68,5.98,36.75,10.42,27.19,-0.57,,
3988,4,47.63,35.01,12.62,21.31,17.49,9.91,-0.04,,
435,4,47.51,26.64,20.86,35.03,2.55,27.16,0.96,,
2234,14,47.39,38.29,9.10,28.34,15.21,23.94,0.41,,
228,5,47.38,24.26,23.12,28.85,12.64,18.30,-1.39,,
1746,7,47.33,28.04,19.29,37.62,7.16,16.87,0.90,,
7174,11,47.31,23.72,23.59,20.54,17.27,9.55,-0.88,,
